StrainNumber1	StrainNumber2	ANIb	Formula 2: DDH
ATCC_33958	CSID_3000516535	79.64	23.6
ATCC_33958	CSID_3000516589	97.2	80.6
ATCC_33958	CSID_3000516810	91.14	44.8
ATCC_33958	CSID_3000516977	79.71	23.5
ATCC_33958	CSID_3000516978	91	44.2
ATCC_33958	CSID_3000516998	92.45	51.4
ATCC_33958	CSID_3000517066	91.05	44.3
ATCC_33958	CSID_3000517120	92.19	51
ATCC_33958	CSID_3015183678	91.04	45
ATCC_33958	CSID_3015183679	91.07	44.6
ATCC_33958	CSID_3015183680	90.71	44.7
ATCC_33958	CSID_3015183685	97.15	80.8
ATCC_33958	CSID_3015183686	90.87	44.5
ATCC_33958	DSM_14571	92.89	52
ATCC_33958	DSM_23781	91.09	45
ATCC_33958	E6809	90.9	44.9
ATCC_33958	EM-CHUV	92.3	50.5
ATCC_33958	Endophthalmitis	91.04	44
ATCC_33958	F3201	90.58	44
ATCC_33958	F3543	90.77	44.8
ATCC_33958	F8124	90.26	42.7
ATCC_33958	FMS-007	90.74	44.6
ATCC_33958	G0146	99.32	97.2
ATCC_33958	G0153	97.12	80.3
ATCC_33958	G4070	90.48	42.8
ATCC_33958	G4071	92.72	51.2
ATCC_33958	G4074	92.67	51.5
ATCC_33958	G4075	99.26	97.9
ATCC_33958	G4076	79.7	23.6
ATCC_33958	G4120	79.63	23.6
ATCC_33958	G4121	92.55	51.5
ATCC_33958	G4122	90.83	43.7
ATCC_33958	G4123	90.77	43.9
ATCC_33958	JM-87	90.77	44.6
ATCC_33958	KC1913	79.71	23.6
ATCC_33958	NUH4	90.54	43.9
ATCC_33958	NUH6	90.7	44.3
ATCC_33958	NUHP1	90.86	44.8
ATCC_33958	PW2809	90.75	44.1
ATCC_33958	R26	91.1	44.9
ATCC_33958	V0378064	90.93	44.6
B2D	0422	97.38	78.8
B2D	3375	97.5	79.8
B2D	502	98.16	85
B2D	ATCC_13253	79.93	23.7
B2D	ATCC_33958	91.25	44.3
B2D	BM10	91.03	44.1
B2D	C1558	89.21	38.3
B2D	CIP108653	91.51	45.6
B2D	CIP108654	97.45	78.4
B2D	CIP111046-9716	98.93	92.1
B2D	CIP111047-9716	91.48	45.3
B2D	CIP111048-9716	79.85	23.5
B2D	CIP111067	97.53	79.9
B2D	CIP60-58	97.38	78.8
B2D	CIP80-33	79.93	23.7
B2D	CSID_3000515919	79.86	23.6
B2D	CSID_3000516074	97.44	79.1
B2D	CSID_3000516135	89.23	38.3
B2D	CSID_3000516359	79.86	23.5
B2D	CSID_3000516464	91.47	45.2
B2D	CSID_3000516465	79.86	23.5
B2D	CSID_3000516535	79.93	23.6
B2D	CSID_3000516589	91.23	44.2
B2D	CSID_3000516810	97.57	79.8
B2D	CSID_3000516977	79.89	23.6
B2D	CSID_3000516978	99.04	92.6
B2D	CSID_3000516998	91.49	45.3
B2D	CSID_3000517066	99.07	92.5
B2D	CSID_3000517120	91.54	45.6
B2D	CSID_3015183678	97.42	78.5
B2D	CSID_3015183679	97.4	78.8
B2D	CSID_3015183680	97.36	78.1
B2D	CSID_3015183685	91.35	44.5
B2D	CSID_3015183686	97.25	78.1
B2D	DSM_14571	91.49	45.5
B2D	DSM_23781	97.35	79
B2D	E6809	97.31	77.9
B2D	EM-CHUV	91.6	45.7
B2D	Endophthalmitis	98.91	91.3
B2D	F3201	98.92	91.7
B2D	F3543	97.46	79.7
B2D	F8124	89.84	40.2
B2D	FMS-007	97.53	80.5
B2D	G0146	91.24	44.3
B2D	G0153	91.32	44.5
B2D	G4070	89.76	40.1
B2D	G4071	91.48	45.3
B2D	G4074	91.51	45.3
B2D	G4075	91.22	44.3
B2D	G4076	79.93	23.7
B2D	G4120	79.85	23.5
B2D	G4121	91.47	45.3
B2D	G4122	89.38	38.4
B2D	G4123	89.3	38.5
B2D	JM-87	98.94	92.3
B2D	KC1913	79.93	23.7
B2D	NUH4	97.39	78.7
B2D	NUH6	97.22	78.7
B2D	NUHP1	97.4	78.7
B2D	PW2809	97.35	78.6
B2D	R26	97.35	79
B2D	V0378064	97.33	77.7
BM10	0422	91.12	44.5
BM10	3375	91.13	44.6
BM10	502	91.14	44.3
BM10	ATCC_13253	79.99	23.7
BM10	ATCC_33958	96.34	72.1
BM10	B2D	91.14	44.1
BM10	C1558	90.67	43.4
BM10	CIP108653	92.87	51.6
BM10	CIP108654	91.25	45.1
BM10	CIP111046-9716	91.15	44.3
BM10	CIP111047-9716	93.06	51.6
BM10	CIP111048-9716	79.94	23.7
BM10	CIP111067	91.15	44.5
BM10	CIP60-58	91.1	44.5
BM10	CIP80-33	80.1	23.8
BM10	CSID_3000515919	80.13	24
BM10	CSID_3000516074	91.09	44.7
BM10	CSID_3000516135	90.97	43.4
BM10	CSID_3000516359	80.04	23.8
BM10	CSID_3000516464	93.21	52.3
BM10	CSID_3000516465	80.01	23.8
BM10	CSID_3000516535	79.96	23.7
BM10	CSID_3000516589	96.45	71.8
BM10	CSID_3000516810	91.21	44.7
BM10	CSID_3000516977	80.05	23.7
BM10	CSID_3000516978	91.15	44.2
BM10	CSID_3000516998	93.08	52.3
BM10	CSID_3000517066	91.14	44.1
BM10	CSID_3000517120	92.6	51.1
BM10	CSID_3015183678	91.18	44.7
BM10	CSID_3015183679	91.24	44.6
BM10	CSID_3015183680	91.1	44.6
BM10	CSID_3015183685	96.47	72.3
BM10	CSID_3015183686	91.14	45
BM10	DSM_14571	92.93	52
BM10	DSM_23781	91.1	44.6
BM10	E6809	91.09	44.7
BM10	EM-CHUV	93.08	52
BM10	Endophthalmitis	91.03	43.8
BM10	F3201	91.1	44.1
BM10	F3543	91.14	44.6
BM10	F8124	90.71	42.9
BM10	FMS-007	91.14	44.6
BM10	G0146	96.43	72.1
BM10	G0153	96.36	72.3
BM10	G4070	90.69	42.9
BM10	G4071	93.05	51.6
BM10	G4074	93.07	51.6
BM10	G4075	96.39	72.3
BM10	G4076	80.01	23.7
BM10	G4120	79.94	23.7
BM10	G4121	93.06	51.7
BM10	G4122	91.18	44.2
BM10	G4123	91.03	44
BM10	JM-87	90.98	44.1
BM10	KC1913	80	23.7
BM10	NUH4	91.06	44.5
BM10	NUH6	91.15	45.1
BM10	NUHP1	91.08	44.6
BM10	PW2809	91.08	44.4
BM10	R26	91.08	44.5
BM10	V0378064	91.12	44.8
C1558	0422	89.2	38.7
C1558	3375	89.12	38.5
C1558	502	89.16	38.5
C1558	ATCC_13253	79.8	23.4
C1558	ATCC_33958	90.76	43.3
C1558	B2D	89.16	38.3
C1558	BM10	90.63	43.4
C1558	CIP108653	90.38	42.3
C1558	CIP108654	89.32	39.1
C1558	CIP111046-9716	89.31	38.6
C1558	CIP111047-9716	90.99	43.9
C1558	CIP111048-9716	79.66	23.4
C1558	CIP111067	89.37	38.7
C1558	CIP60-58	89.2	38.7
C1558	CIP80-33	79.74	23.5
C1558	CSID_3000515919	79.68	23.4
C1558	CSID_3000516074	89.14	38.6
C1558	CSID_3000516135	97.14	78.1
C1558	CSID_3000516359	79.78	23.4
C1558	CSID_3000516464	90.97	43.6
C1558	CSID_3000516465	79.72	23.4
C1558	CSID_3000516535	79.53	23.4
C1558	CSID_3000516589	90.59	42.7
C1558	CSID_3000516810	89.25	38.5
C1558	CSID_3000516977	79.73	23.5
C1558	CSID_3000516978	89.29	38.5
C1558	CSID_3000516998	90.72	44
C1558	CSID_3000517066	89.3	38.4
C1558	CSID_3000517120	90.11	41.9
C1558	CSID_3015183678	89.22	38.7
C1558	CSID_3015183679	89.36	38.7
C1558	CSID_3015183680	89.12	38.5
C1558	CSID_3015183685	90.57	42.7
C1558	CSID_3015183686	89.02	38.4
C1558	DSM_14571	90.36	42
C1558	DSM_23781	89.03	38.8
C1558	E6809	89.19	38.6
C1558	EM-CHUV	91.02	44.5
C1558	Endophthalmitis	89.18	38.2
C1558	F3201	88.98	38.4
C1558	F3543	88.96	38.4
C1558	F8124	94.01	57.8
C1558	FMS-007	89.06	38.7
C1558	G0146	90.73	43.2
C1558	G0153	90.49	42.8
C1558	G4070	94.13	58.2
C1558	G4071	90.99	44
C1558	G4074	91.02	43.9
C1558	G4075	90.71	43.2
C1558	G4076	79.81	23.4
C1558	G4120	79.67	23.4
C1558	G4121	90.94	43.9
C1558	G4122	96.8	76.1
C1558	G4123	97.35	80.6
C1558	JM-87	89.37	39.3
C1558	KC1913	79.81	23.4
C1558	NUH4	89.15	38.6
C1558	NUH6	89.06	38.7
C1558	NUHP1	89.22	38.8
C1558	PW2809	89.15	38.6
C1558	R26	89.02	38.7
C1558	V0378064	89.05	38.8
CIP108653	0422	91.51	46.4
CIP108653	3375	91.77	46.4
CIP108653	502	91.65	46.1
CIP108653	ATCC_13253	79.82	23.7
CIP108653	ATCC_33958	92.72	51.4
CIP108653	B2D	91.62	45.6
CIP108653	BM10	92.87	51.6
CIP108653	C1558	90.41	42.3
CIP108653	CIP108654	91.54	46.6
CIP108653	CIP111046-9716	91.69	45.7
CIP108653	CIP111047-9716	96.28	70
CIP108653	CIP111048-9716	79.84	23.7
CIP108653	CIP111067	91.71	46.5
CIP108653	CIP60-58	91.51	46.4
CIP108653	CIP80-33	79.87	23.7
CIP108653	CSID_3000515919	79.84	24
CIP108653	CSID_3000516074	91.77	46.3
CIP108653	CSID_3000516135	90.48	42.4
CIP108653	CSID_3000516359	79.8	23.7
CIP108653	CSID_3000516464	96.32	70.4
CIP108653	CSID_3000516465	79.84	23.7
CIP108653	CSID_3000516535	79.83	23.8
CIP108653	CSID_3000516589	92.78	50.7
CIP108653	CSID_3000516810	91.77	46.7
CIP108653	CSID_3000516977	79.81	23.7
CIP108653	CSID_3000516978	91.65	45.6
CIP108653	CSID_3000516998	96.18	70
CIP108653	CSID_3000517066	91.68	45.7
CIP108653	CSID_3000517120	98.55	91.1
CIP108653	CSID_3015183678	91.71	46.5
CIP108653	CSID_3015183679	91.66	46.4
CIP108653	CSID_3015183680	91.69	46.5
CIP108653	CSID_3015183685	92.84	51
CIP108653	CSID_3015183686	91.51	46.8
CIP108653	DSM_14571	98.34	86.9
CIP108653	DSM_23781	91.58	46.6
CIP108653	E6809	91.86	46.9
CIP108653	EM-CHUV	96.12	68.6
CIP108653	Endophthalmitis	91.63	45.4
CIP108653	F3201	91.41	45.3
CIP108653	F3543	91.77	46.4
CIP108653	F8124	90.65	42.8
CIP108653	FMS-007	91.7	46.4
CIP108653	G0146	92.94	51.4
CIP108653	G0153	92.76	50.8
CIP108653	G4070	90.39	42.5
CIP108653	G4071	96.32	70.5
CIP108653	G4074	96.4	70.7
CIP108653	G4075	92.89	51.4
CIP108653	G4076	79.81	23.7
CIP108653	G4120	79.84	23.7
CIP108653	G4121	96.34	70.5
CIP108653	G4122	90.64	42.5
CIP108653	G4123	90.69	42.7
CIP108653	JM-87	91.41	45.4
CIP108653	KC1913	79.81	23.7
CIP108653	NUH4	91.75	46.5
CIP108653	NUH6	91.76	46.9
CIP108653	NUHP1	91.78	46.6
CIP108653	PW2809	91.64	46.4
CIP108653	R26	91.58	46.5
CIP108653	V0378064	91.66	46.7
CIP108654	0422	97.86	84.4
CIP108654	3375	98.13	85.2
CIP108654	502	97.65	81.1
CIP108654	ATCC_13253	79.96	23.7
CIP108654	ATCC_33958	91.22	44.7
CIP108654	B2D	97.41	78.4
CIP108654	BM10	91.26	45.1
CIP108654	C1558	89.45	39.1
CIP108654	CIP108653	91.7	46.6
CIP108654	CIP111046-9716	97.46	78.3
CIP108654	CIP111047-9716	91.98	46.9
CIP108654	CIP111048-9716	79.99	23.6
CIP108654	CIP111067	97.94	83.6
CIP108654	CIP60-58	97.87	84.4
CIP108654	CIP80-33	79.99	23.6
CIP108654	CSID_3000515919	79.92	23.7
CIP108654	CSID_3000516074	98.09	84.6
CIP108654	CSID_3000516135	89.47	39
CIP108654	CSID_3000516359	79.94	23.6
CIP108654	CSID_3000516464	91.95	46.8
CIP108654	CSID_3000516465	80.08	23.7
CIP108654	CSID_3000516535	79.91	23.6
CIP108654	CSID_3000516589	91.3	44.6
CIP108654	CSID_3000516810	98.02	84.1
CIP108654	CSID_3000516977	79.98	23.6
CIP108654	CSID_3000516978	97.45	78.5
CIP108654	CSID_3000516998	91.73	47
CIP108654	CSID_3000517066	97.28	77.7
CIP108654	CSID_3000517120	91.77	46.3
CIP108654	CSID_3015183678	98.01	84
CIP108654	CSID_3015183679	98.15	84.6
CIP108654	CSID_3015183680	97.85	83
CIP108654	CSID_3015183685	91.42	45
CIP108654	CSID_3015183686	97.74	82.2
CIP108654	DSM_14571	91.76	46.3
CIP108654	DSM_23781	97.7	82.8
CIP108654	E6809	97.7	82.6
CIP108654	EM-CHUV	91.88	47.1
CIP108654	Endophthalmitis	97.17	76.9
CIP108654	F3201	97.34	78.2
CIP108654	F3543	98.02	85
CIP108654	F8124	89.93	40.3
CIP108654	FMS-007	98.1	84.7
CIP108654	G0146	91.23	44.7
CIP108654	G0153	91.37	45
CIP108654	G4070	89.9	40.5
CIP108654	G4071	92.02	47
CIP108654	G4074	92	46.9
CIP108654	G4075	91.15	44.7
CIP108654	G4076	79.96	23.7
CIP108654	G4120	79.98	23.6
CIP108654	G4121	91.98	46.9
CIP108654	G4122	89.44	38.9
CIP108654	G4123	89.49	39.3
CIP108654	JM-87	97.19	78.2
CIP108654	KC1913	79.97	23.7
CIP108654	NUH4	97.99	83.9
CIP108654	NUH6	97.64	82.3
CIP108654	NUHP1	97.95	83.4
CIP108654	PW2809	97.97	84.1
CIP108654	R26	97.72	82.8
CIP108654	V0378064	99.74	99.8
CIP111046-9716	0422	97.36	78.9
CIP111046-9716	3375	97.33	78.8
CIP111046-9716	502	97.97	83.4
CIP111046-9716	ATCC_13253	79.79	23.6
CIP111046-9716	ATCC_33958	91.16	44.4
CIP111046-9716	B2D	98.95	92.1
CIP111046-9716	BM10	91.17	44.3
CIP111046-9716	C1558	89.34	38.6
CIP111046-9716	CIP108653	91.62	45.7
CIP111046-9716	CIP108654	97.44	78.3
CIP111046-9716	CIP111047-9716	91.59	45.6
CIP111046-9716	CIP111048-9716	79.8	23.5
CIP111046-9716	CIP111067	97.55	80.3
CIP111046-9716	CIP60-58	97.36	78.9
CIP111046-9716	CIP80-33	79.82	23.6
CIP111046-9716	CSID_3000515919	79.77	23.5
CIP111046-9716	CSID_3000516074	97.27	78.3
CIP111046-9716	CSID_3000516135	89.35	38.6
CIP111046-9716	CSID_3000516359	79.81	23.5
CIP111046-9716	CSID_3000516464	91.56	45.4
CIP111046-9716	CSID_3000516465	79.81	23.5
CIP111046-9716	CSID_3000516535	79.78	23.6
CIP111046-9716	CSID_3000516589	91.09	44.2
CIP111046-9716	CSID_3000516810	97.48	80
CIP111046-9716	CSID_3000516977	79.78	23.5
CIP111046-9716	CSID_3000516978	99.01	92.4
CIP111046-9716	CSID_3000516998	91.54	45.6
CIP111046-9716	CSID_3000517066	98.97	92.2
CIP111046-9716	CSID_3000517120	91.37	45.4
CIP111046-9716	CSID_3015183678	97.38	79.3
CIP111046-9716	CSID_3015183679	97.41	79.1
CIP111046-9716	CSID_3015183680	97.21	78.3
CIP111046-9716	CSID_3015183685	91.2	44.3
CIP111046-9716	CSID_3015183686	97.1	77.5
CIP111046-9716	DSM_14571	91.5	45.4
CIP111046-9716	DSM_23781	97.4	79
CIP111046-9716	E6809	97.05	76.9
CIP111046-9716	EM-CHUV	91.54	45.8
CIP111046-9716	Endophthalmitis	98.89	91
CIP111046-9716	F3201	98.9	92.1
CIP111046-9716	F3543	97.21	78.6
CIP111046-9716	F8124	89.95	40.5
CIP111046-9716	FMS-007	97.37	80.3
CIP111046-9716	G0146	91.13	44.3
CIP111046-9716	G0153	91.18	44.2
CIP111046-9716	G4070	89.89	40.4
CIP111046-9716	G4071	91.61	45.6
CIP111046-9716	G4074	91.59	45.6
CIP111046-9716	G4075	91.12	44.4
CIP111046-9716	G4076	79.78	23.6
CIP111046-9716	G4120	79.81	23.5
CIP111046-9716	G4121	91.57	45.6
CIP111046-9716	G4122	89.37	38.6
CIP111046-9716	G4123	89.35	38.6
CIP111046-9716	JM-87	98.8	90.9
CIP111046-9716	KC1913	79.78	23.6
CIP111046-9716	NUH4	97.25	78.8
CIP111046-9716	NUH6	97.16	78.6
CIP111046-9716	NUHP1	97.25	78.8
CIP111046-9716	PW2809	97.25	78.7
CIP111046-9716	R26	97.4	78.9
CIP111046-9716	V0378064	97.3	77.7
CIP111047-9716	0422	91.65	46.6
CIP111047-9716	3375	91.61	46.7
CIP111047-9716	502	91.6	46.1
CIP111047-9716	ATCC_13253	79.81	23.6
CIP111047-9716	ATCC_33958	93.3	52.5
CIP111047-9716	B2D	91.43	45.3
CIP111047-9716	BM10	93.02	51.6
CIP111047-9716	C1558	91.03	43.9
CIP111047-9716	CIP108653	96.22	70
CIP111047-9716	CIP108654	91.93	46.9
CIP111047-9716	CIP111046-9716	91.47	45.6
CIP111047-9716	CIP111048-9716	80.08	23.9
CIP111047-9716	CIP111067	91.88	46.8
CIP111047-9716	CIP60-58	91.65	46.6
CIP111047-9716	CIP80-33	79.7	23.5
CIP111047-9716	CSID_3000515919	79.9	23.7
CIP111047-9716	CSID_3000516074	91.48	46.1
CIP111047-9716	CSID_3000516135	91.01	44.1
CIP111047-9716	CSID_3000516359	79.94	23.8
CIP111047-9716	CSID_3000516464	97.22	78.2
CIP111047-9716	CSID_3000516465	79.83	23.5
CIP111047-9716	CSID_3000516535	79.78	23.5
CIP111047-9716	CSID_3000516589	92.65	50.2
CIP111047-9716	CSID_3000516810	91.85	46.9
CIP111047-9716	CSID_3000516977	79.82	23.5
CIP111047-9716	CSID_3000516978	91.56	45.5
CIP111047-9716	CSID_3000516998	97.54	80.9
CIP111047-9716	CSID_3000517066	91.56	45.6
